"Package","Version"
"AnnotationDbi","1.52.0"
"backports","1.4.1"
"base","4.0.2"
"base64enc","0.1-3"
"BH","1.78.0-0"
"Biobase","2.50.0"
"BiocGenerics","0.36.0"
"BiocManager","1.30.18"
"BiocParallel","1.24.1"
"BiocVersion","3.12.0"
"bit","4.0.4"
"bit64","4.0.5"
"blob","1.2.3"
"brio","1.1.3"
"bslib","0.9.0"
"cachem","1.0.6"
"callr","3.7.2"
"cli","3.4.1"
"clusterProfiler","3.18.1"
"colorspace","2.0-3"
"compiler","4.0.2"
"cowplot","1.1.1"
"cpp11","0.4.2"
"crayon","1.5.1"
"data.table","1.14.2"
"datasets","4.0.2"
"DBI","1.1.3"
"desc","1.4.2"
"diffobj","0.3.5"
"digest","0.6.29"
"DO.db","2.9"
"DOSE","3.16.0"
"downloader","0.4"
"dplyr","1.0.10"
"ellipsis","0.3.2"
"enrichplot","1.10.2"
"evaluate","0.16"
"fansi","1.0.3"
"farver","2.1.1"
"fastmap","1.2.0"
"fastmatch","1.1-3"
"fgsea","1.16.0"
"fontawesome","0.5.3"
"formatR","1.12"
"fs","1.5.2"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"generics","0.1.3"
"ggforce","0.3.4"
"ggfun","0.0.7"
"ggplot2","3.3.6"
"ggraph","2.0.6"
"ggrepel","0.9.1"
"glue","1.6.2"
"GO.db","3.12.1"
"GOSemSim","2.16.1"
"graphics","4.0.2"
"graphlayouts","0.8.1"
"grDevices","4.0.2"
"grid","4.0.2"
"gridExtra","2.3"
"gtable","0.3.1"
"highr","0.11"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"igraph","1.2.6"
"IRanges","2.24.1"
"IRdisplay","1.1"
"IRkernel","1.3"
"isoband","0.2.5"
"jquerylib","0.1.4"
"jsonlite","1.8.0"
"knitr","1.50"
"labeling","0.4.2"
"lambda.r","1.2.4"
"lattice","0.20-45"
"lifecycle","1.0.4"
"magrittr","2.0.3"
"MASS","7.3-58.1"
"Matrix","1.4-1"
"memoise","2.0.1"
"methods","4.0.2"
"mgcv","1.8-40"
"mime","0.13"
"munsell","0.5.0"
"nlme","3.1-159"
"org.Hs.eg.db","3.12.0"
"parallel","4.0.2"
"pbdZMQ","0.3-7"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"pkgload","1.3.0"
"plogr","0.2.0"
"plyr","1.8.7"
"polyclip","1.10-0"
"praise","1.0.0"
"processx","3.7.0"
"ps","1.7.1"
"purrr","0.3.4"
"qvalue","2.22.0"
"R6","2.5.1"
"rappdirs","0.3.3"
"RColorBrewer","1.1-3"
"Rcpp","1.0.9"
"RcppArmadillo","0.11.2.3.1"
"RcppEigen","0.3.3.9.2"
"rematch2","2.1.2"
"repr","1.1.4"
"reshape2","1.4.4"
"rlang","1.1.6"
"rmarkdown","2.30"
"rprojroot","2.0.3"
"RSQLite","2.2.8"
"rvcheck","0.2.1"
"S4Vectors","0.28.1"
"S7","0.2.0"
"sass","0.4.10"
"scales","1.2.1"
"scatterpie","0.1.8"
"shadowtext","0.1.2"
"snow","0.4-4"
"splines","4.0.2"
"stats","4.0.2"
"stats4","4.0.2"
"stringi","1.5.3"
"stringr","1.4.1"
"tcltk","4.0.2"
"testthat","3.1.4"
"tibble","3.1.8"
"tidygraph","1.2.2"
"tidyr","1.2.1"
"tidyselect","1.1.2"
"tinytex","0.57"
"tools","4.0.2"
"tweenr","2.0.2"
"utf8","1.2.2"
"utils","4.0.2"
"uuid","1.1-0"
"vctrs","0.6.5"
"viridis","0.6.2"
"viridisLite","0.4.1"
"waldo","0.4.0"
"withr","2.5.0"
"xfun","0.53"
"yaml","2.3.10"
"yulab.utils","0.0.5"
