"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype"
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","73/443","109/18866",1.06049420106733e-93,2.55583388281946e-90,2.30741821921849e-90,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/7095/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/6173/6158/6139/9349/6129",73,"B.cell"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","72/443","105/18866",1.33255155517177e-93,2.55583388281946e-90,2.30741821921849e-90,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/6173/6158/6139/9349/6129",72,"B.cell"
"GO:0045047","GO:0045047","protein targeting to ER","73/443","120/18866",5.69322008497071e-89,7.27973074864922e-86,6.5721733612469e-86,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/7095/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/6173/6158/6139/9349/6129",73,"B.cell"
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","73/443","124/18866",1.97560071001386e-87,1.8946010809033e-84,1.71045429893306e-84,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/7095/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/6173/6158/6139/9349/6129",73,"B.cell"
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","72/443","120/18866",4.29072799520749e-87,3.29184651792318e-84,2.97189370615424e-84,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/6173/6158/6139/9349/6129",72,"B.cell"
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","75/443","152/18866",7.73311029071347e-82,4.94403517919614e-79,4.46349699235918e-79,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/7095/6138/6160/6209/11224/6208/6165/6146/6168/202018/6167/6152/6201/6173/6158/23645/6139/9349/6129",75,"B.cell"
"GO:0006413","GO:0006413","translational initiation","78/443","192/18866",9.6027364044102e-77,5.26229954961679e-74,4.75082748428715e-74,"55024/6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/1974/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/4869/6159/6205/10289/6192/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/6173/6158/23645/6139/9349/6129/9086",78,"B.cell"
"GO:0019083","GO:0019083","viral transcription","75/443","178/18866",3.23816335234069e-75,1.55269932744736e-72,1.40178387226327e-72,"6232/3725/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6598/6201/6173/4927/6158/6139/9349/6129",75,"B.cell"
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","78/443","210/18866",4.5848433434276e-73,1.95416211837647e-70,1.76422626899144e-70,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/23318/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/6138/6160/6209/11224/472/6208/7832/6165/6146/6168/6167/6152/6201/6173/6158/51690/6139/9349/6129/23112/1656",78,"B.cell"
"GO:0019080","GO:0019080","viral gene expression","75/443","195/18866",1.42745398940659e-71,5.47571350336369e-69,4.94349855278705e-69,"6232/3725/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6598/6201/6173/4927/6158/6139/9349/6129",75,"B.cell"
"GO:0006612","GO:0006612","protein targeting to membrane","75/443","210/18866",1.07933782233411e-68,3.76394535133969e-66,3.39810663682223e-66,"6232/6228/6132/6147/3921/25873/23521/6227/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/6223/6181/6207/6159/6205/6192/7095/6138/6160/6209/11224/6208/6165/6146/6168/6167/6152/6201/10519/6173/6158/653361/6139/9349/6129",75,"B.cell"
"GO:0090150","GO:0090150","establishment of protein localization to membrane","83/443","342/18866",1.34572907308067e-60,4.30184727028122e-58,3.88372688634685e-58,"6232/100133941/6228/6132/6147/3921/25873/23521/6227/6193/6233/596/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6125/6206/6122/6164/6204/6202/6188/6176/23062/6157/6170/6135/6224/6194/6154/6187/6217/6143/6234/6191/6169/6130/6210/6141/3308/6223/6181/6207/6159/6205/6192/7095/6138/6160/6711/10399/6209/11224/6208/6165/6844/5366/6146/6168/6167/6152/6201/10519/6173/6158/653361/6139/9349/6129",83,"B.cell"
