"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype"
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","73/441","109/18866",7.42310417105893e-94,1.79811481858187e-90,1.62482632610452e-90,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/7095/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6158/6173/6139/9349/6129",73,"B.cell"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","72/441","105/18866",9.37494691648524e-94,1.79811481858187e-90,1.62482632610452e-90,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6158/6173/6139/9349/6129",72,"B.cell"
"GO:0045047","GO:0045047","protein targeting to ER","73/441","120/18866",3.98976796660235e-89,5.10158330662888e-86,4.60993189965668e-86,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/7095/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6158/6173/6139/9349/6129",73,"B.cell"
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","73/441","124/18866",1.38508120046069e-87,1.3282928712418e-84,1.20028220871501e-84,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/7095/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6158/6173/6139/9349/6129",73,"B.cell"
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","72/441","120/18866",3.02353045501798e-87,2.31965256508979e-84,2.09610227123668e-84,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6158/6173/6139/9349/6129",72,"B.cell"
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","75/441","152/18866",5.37811202200594e-82,3.43840628606913e-79,3.10703910323957e-79,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/7095/6138/6160/11224/6209/6165/6208/6146/6168/202018/6167/6152/6201/6158/6173/6139/9349/23645/6129",75,"B.cell"
"GO:0006413","GO:0006413","translational initiation","78/441","192/18866",6.59602813995129e-77,3.61462342069331e-74,3.26627378418941e-74,"55024/6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/1974/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/4869/6205/10289/6192/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6158/6173/6139/9349/23645/6129/9086",78,"B.cell"
"GO:0019083","GO:0019083","viral transcription","75/441","178/18866",2.25833693128565e-75,1.08287255855147e-72,9.78513620358376e-73,"6232/3725/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6598/6158/6173/4927/6139/9349/6129",75,"B.cell"
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","78/441","210/18866",3.15540040382223e-73,1.34490177211801e-70,1.21529047132007e-70,"6232/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/23318/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/6138/6160/11224/6209/7832/6165/6208/472/6146/6168/6167/6152/6201/6158/6173/6139/9349/51690/6129/1656/23112",78,"B.cell"
"GO:0019080","GO:0019080","viral gene expression","75/441","195/18866",9.97348375176013e-72,3.82582836717519e-69,3.45712442047854e-69,"6232/3725/6228/6132/6147/3921/25873/6227/23521/6193/6233/6230/6175/6156/9045/6136/6144/6171/6161/6235/6142/6189/6137/6134/6133/6231/4736/6222/6206/6125/6122/6164/6204/6202/6188/6176/6170/6157/6135/6194/6154/6224/6187/6217/6143/6234/6169/6191/6130/6210/6141/6223/6207/6181/6159/6205/6192/6138/6160/11224/6209/6165/6208/6146/6168/6167/6152/6201/6598/6158/6173/4927/6139/9349/6129",75,"B.cell"
