"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Celltype"
"GO:00064131","GO:0006413","translational initiation","113/931","192/18866",1.37249857131585e-97,6.54819068374792e-94,5.67780987923293e-94,"6228/6164/6206/6165/6191/6188/6161/6125/6130/6189/6222/6194/4869/6229/6152/6231/6156/6175/25873/6137/4736/6154/6159/6160/6168/6135/6129/6122/9045/6193/6202/6136/6170/6209/6142/6138/6167/6201/6133/6187/6223/3646/6128/6230/6203/6233/6169/6171/6210/6141/6208/6134/6176/6207/3921/6204/6227/6146/23521/9349/6132/6147/6235/11224/6158/6143/6232/6234/6144/6173/6192/6224/3315/1975/6157/6181/10209/1974/6124/8667/26986/5610/51386/6155/10657/6217/6205/1964/10480/8665/8562/6218/8666/51247/8664/27335/6139/7175/7311/1654/10289/23645/8668/1978/7458/9669/51441/6059/468/1968/22916/1653/8894",113,"b1"
"GO:00001841","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","88/931","120/18866",5.71526312487534e-89,1.36337601843901e-85,1.18215705688211e-85,"6228/6164/6206/6165/6191/6188/6161/6125/6130/6189/6222/6194/6229/6152/6231/6156/6175/25873/6137/4736/6154/6159/6160/6168/6135/6129/6122/9045/6193/6202/6136/6170/6209/6142/6138/6167/6201/6133/6187/6223/3646/6128/6230/6203/6233/6169/6171/6210/6141/6208/6134/6176/6207/3921/6204/6227/6146/23521/9349/6132/6147/6235/11224/6158/6143/6232/6234/6144/6173/6192/6224/6157/6181/6124/26986/6155/6217/6205/6218/6139/4116/65110/55629/7311/2935/9939/22916/10921",88,"b1"
"GO:00022832","GO:0002283","neutrophil activation involved in immune response","161/960","490/18866",8.87404033824935e-88,4.76092264147078e-84,3.46274395093583e-84,"1992/2512/6280/6279/1509/4069/6283/2219/6036/6402/929/8804/4257/967/4332/1520/2896/25798/960/5265/6282/6386/1675/25801/56729/2357/29108/683/9535/978/1508/5660/3689/427/7305/160364/5199/2950/55313/10097/3958/5788/6556/948/6515/302/10875/1378/1536/11010/8826/5879/11025/10288/391/7077/2268/1471/5315/5223/23593/11031/23406/199675/2207/3920/968/1604/387/10970/728/5329/3074/847/5175/51316/2760/3684/6813/126014/84106/5724/2799/10092/10788/22918/10890/1512/3071/4048/6093/684/1432/51816/3106/2212/10487/963/10159/3320/5777/1522/5873/1476/93100/5836/8673/10577/83716/945/2495/7133/140885/7097/11027/6993/6850/1535/240/5269/9218/2665/51646/5478/102/28956/55004/3916/7879/3107/10555/5878/5476/2548/10312/1654/23352/8566/340061/5689/5713/976/23250/3240/81619/6727/29099/1938/3903/3417/2720/5768/3614/7520/9545/54918/23191/8876/10043/1915/1460",161,"b1n"
"GO:00433122","GO:0043312","neutrophil degranulation","160/960","487/18866",3.31121542346614e-87,8.88233537344792e-84,6.46035556567841e-84,"1992/2512/6280/6279/1509/4069/6283/2219/6036/6402/929/8804/4257/967/4332/1520/2896/25798/960/5265/6282/6386/1675/25801/56729/2357/29108/683/9535/978/1508/5660/3689/427/7305/160364/5199/2950/55313/10097/3958/5788/6556/948/6515/302/10875/1378/1536/11010/8826/5879/11025/10288/391/7077/2268/1471/5315/5223/23593/11031/23406/199675/2207/3920/968/1604/387/10970/728/5329/3074/847/5175/51316/2760/3684/6813/126014/84106/5724/2799/10092/10788/22918/10890/1512/3071/4048/6093/684/1432/51816/3106/2212/10487/963/10159/3320/5777/1522/5873/1476/93100/5836/8673/10577/83716/945/2495/7133/140885/7097/6993/6850/1535/240/5269/9218/2665/51646/5478/102/28956/55004/3916/7879/3107/10555/5878/5476/2548/10312/1654/23352/8566/340061/5689/5713/976/23250/3240/81619/6727/29099/1938/3903/3417/2720/5768/3614/7520/9545/54918/23191/8876/10043/1915/1460",160,"b1n"
"GO:00066141","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","82/931","105/18866",6.54843442386854e-87,1.04141935454256e-83,9.02994641607135e-84,"6228/6164/6206/6165/6191/6188/6161/6125/6130/6189/6222/6194/6229/6152/6231/6156/6175/25873/6137/4736/6154/6159/6160/6168/6135/6129/6122/9045/6193/6202/6136/6170/6209/6142/6138/6167/6201/6133/6187/6223/6128/6230/6203/6233/6169/6171/6210/6141/6208/6134/6176/6207/3921/6204/6227/6146/23521/9349/6132/6147/6235/11224/6158/6143/6232/6234/6144/6173/6192/6224/6157/6181/6124/6155/6217/6205/6218/6727/6731/6139/6726/7311",82,"b1"
"GO:0006413","GO:0006413","translational initiation","106/933","192/18866",2.85157657263743e-87,1.42407734037513e-83,1.23818456443467e-83,"3646/4869/6129/6165/6164/6191/6160/51386/6154/6189/26986/6228/6175/6167/6161/6229/6125/6201/6135/6152/6188/6170/6138/10480/6203/6122/6159/6133/9045/6141/6194/8665/6206/6156/6130/6233/6204/6146/6168/6207/4736/6134/1975/6208/8664/6176/6128/6210/6173/8562/9349/6222/6137/6193/6202/3315/6209/23521/10657/6143/6136/6205/10209/6187/6234/6223/25873/6124/6169/3921/6171/1974/6227/6224/7458/6230/6142/8667/6158/1964/6157/6235/6132/10289/1968/1654/11224/6147/6232/6231/1973/6144/6218/6139/23645/51247/6155/8666/7175/3692/1939/27335/83939/51441/6181/1978",106,"b0"
"GO:00066131","GO:0006613","cotranslational protein targeting to membrane","82/931","109/18866",1.72878789519663e-84,2.06201176199578e-81,1.78793063897967e-81,"6228/6164/6206/6165/6191/6188/6161/6125/6130/6189/6222/6194/6229/6152/6231/6156/6175/25873/6137/4736/6154/6159/6160/6168/6135/6129/6122/9045/6193/6202/6136/6170/6209/6142/6138/6167/6201/6133/6187/6223/6128/6230/6203/6233/6169/6171/6210/6141/6208/6134/6176/6207/3921/6204/6227/6146/23521/9349/6132/6147/6235/11224/6158/6143/6232/6234/6144/6173/6192/6224/6157/6181/6124/6155/6217/6205/6218/6727/6731/6139/6726/7311",82,"b1"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","79/933","105/18866",2.48110099748321e-81,6.19530919071557e-78,5.38660084979907e-78,"6129/6165/6164/6191/6160/6154/6189/6228/6175/6167/6161/6229/6125/6201/6135/6152/6188/6170/6138/6203/6122/6159/6133/9045/6141/6194/6206/6156/6130/6233/6204/6146/6168/6207/4736/6134/6208/6176/6128/6210/6173/9349/6222/6137/6193/6202/6209/23521/6143/6136/6727/6205/6187/6234/6223/25873/6124/6169/3921/6171/6227/6224/6230/6142/6158/6157/6235/6132/11224/6726/6147/6232/6231/6144/6218/6139/6155/6731/6181",79,"b0"
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","80/933","109/18866",7.48910978047139e-81,1.2466871414558e-77,1.08395009980507e-77,"6129/6165/6164/6191/6160/6154/6189/6228/6175/6167/6161/6229/6125/6201/6135/6152/6188/6170/6138/6203/6122/6159/6133/9045/6141/6194/6206/6156/6130/6233/6204/6146/6168/6207/4736/6134/6208/6176/6128/6210/6173/9349/6222/6137/6193/6202/6209/23521/6143/6136/6727/6205/6187/6234/6223/25873/6124/6169/3921/6171/6227/6224/6230/6142/6158/6157/6235/6132/11224/6726/6147/6232/6231/6144/6218/6139/6155/6731/6181/6746",80,"b0"
"GO:00450471","GO:0045047","protein targeting to ER","82/931","120/18866",1.00812956142356e-78,9.61957227510358e-76,8.3409456345149e-76,"6228/6164/6206/6165/6191/6188/6161/6125/6130/6189/6222/6194/6229/6152/6231/6156/6175/25873/6137/4736/6154/6159/6160/6168/6135/6129/6122/9045/6193/6202/6136/6170/6209/6142/6138/6167/6201/6133/6187/6223/6128/6230/6203/6233/6169/6171/6210/6141/6208/6134/6176/6207/3921/6204/6227/6146/23521/9349/6132/6147/6235/11224/6158/6143/6232/6234/6144/6173/6192/6224/6157/6181/6124/6155/6217/6205/6218/6727/6731/6139/6726/7311",82,"b1"
