"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype"
"GO:0042113","GO:0042113","B cell activation","45/431","328/18866",2.46149857485389e-22,9.58507545048105e-19,8.54528663144014e-19,"931/973/55024/3495/3507/974/115650/972/933/3514/115350/23075/4208/958/640/930/202309/22806/7163/115352/3538/7462/3539/29760/3087/5074/5452/5579/9734/643/695/1235/677/975/1380/5450/23308/10892/4066/5336/51237/2213/596/10451/4067",45,"B.cell"
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","43/431","325/18866",9.28753458681698e-21,1.80828298405327e-17,1.6121204772275e-17,"931/973/3495/3507/974/3115/3122/3119/933/3123/3117/3113/3514/5079/4208/3118/640/27086/930/115352/3538/7462/3539/29760/5074/26228/7430/5579/84807/695/975/10385/5142/23308/1236/10892/5336/2213/596/59338/10451/4067/257144",43,"B.cell"
"GO:0050853","GO:0050853","B cell receptor signaling pathway","28/431","135/18866",3.56128242505355e-19,4.62254458771951e-16,4.12109103081635e-16,"931/973/3495/3507/974/933/3514/5079/4208/640/27086/930/115352/3538/7462/3539/29760/26228/5579/695/975/5336/2213/596/59338/10451/4067/257144",28,"B.cell"
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","49/431","481/18866",1.29392953968227e-18,1.00771232550455e-15,8.98395709867816e-16,"931/973/3495/3507/974/3115/3122/3119/933/3123/3117/3113/3514/5079/4208/3118/640/27086/930/115352/3538/7462/3539/29760/5074/26228/7430/5579/84807/695/975/1380/10385/5142/26060/23308/1236/10892/5336/5581/2213/596/1378/259197/4641/59338/10451/4067/257144",49,"B.cell"
"GO:0002757","GO:0002757","immune response-activating signal transduction","49/431","481/18866",1.29392953968227e-18,1.00771232550455e-15,8.98395709867816e-16,"931/973/3495/3507/974/3115/3122/3119/933/3123/3117/3113/3514/5079/4208/3118/640/27086/930/115352/3538/7462/3539/29760/5074/26228/7430/5579/84807/695/975/1380/10385/5142/26060/23308/1236/10892/5336/5581/2213/596/1378/259197/4641/59338/10451/4067/257144",49,"B.cell"
"GO:0042100","GO:0042100","B cell proliferation","21/431","97/18866",4.27673379373143e-15,2.7756002321317e-12,2.47450316696952e-12,"931/973/115650/972/933/4208/958/640/930/202309/22806/115352/5074/695/975/1380/51237/2213/596/10451/4067",21,"B.cell"
"GO:0046651","GO:0046651","lymphocyte proliferation","32/431","283/18866",9.01873243907545e-14,5.01699201682283e-11,4.47274880963471e-11,"931/973/115650/972/3115/933/3123/3113/3109/4208/958/640/100133941/930/202309/22806/115352/5074/695/975/1380/10385/23308/10892/51237/2213/596/7048/8440/10451/23240/4067",32,"B.cell"
"GO:0032943","GO:0032943","mononuclear cell proliferation","32/431","286/18866",1.21081575819714e-13,5.89364570302458e-11,5.25430311912391e-11,"931/973/115650/972/3115/933/3123/3113/3109/4208/958/640/100133941/930/202309/22806/115352/5074/695/975/1380/10385/23308/10892/51237/2213/596/7048/8440/10451/23240/4067",32,"B.cell"
"GO:0050854","GO:0050854","regulation of antigen receptor-mediated signaling pathway","17/431","69/18866",1.84621711972097e-13,7.98796607132608e-11,7.121431650105e-11,"933/5079/640/27086/930/115352/5074/26228/7430/5579/975/10385/1236/10892/2213/4067/257144",17,"B.cell"
"GO:0030098","GO:0030098","lymphocyte differentiation","36/431","368/18866",2.08520249337173e-13,8.11977850918952e-11,7.23894507698944e-11,"931/973/974/972/3566/27086/930/22806/7163/115352/29760/3087/9308/399/5452/3111/55636/9734/84807/695/1235/2841/677/1380/5450/10385/1236/10892/4066/5336/2213/596/1378/7048/23240/10193",36,"B.cell"
"GO:0070661","GO:0070661","leukocyte proliferation","33/431","313/18866",2.69264503280403e-13,9.53196341612626e-11,8.49793618965329e-11,"931/973/115650/972/3115/933/3123/3113/3109/4208/958/640/100133941/930/202309/22806/115352/3087/5074/695/975/1380/10385/23308/10892/51237/2213/596/7048/8440/10451/23240/4067",33,"B.cell"
"GO:0030888","GO:0030888","regulation of B cell proliferation","16/431","62/18866",4.36297064811155e-13,1.4157839753122e-10,1.2621997541642e-10,"115650/972/933/4208/958/640/22806/115352/5074/695/975/51237/2213/596/10451/4067",16,"B.cell"
"GO:0050855","GO:0050855","regulation of B cell receptor signaling pathway","12/431","29/18866",6.34139020796241e-13,1.89949026690812e-10,1.6934335956162e-10,"933/5079/640/27086/930/115352/26228/5579/975/2213/4067/257144",12,"B.cell"
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","26/431","219/18866",6.61282482723841e-12,1.83930999123331e-09,1.63978167520544e-09,"115650/972/3115/933/3123/3113/3109/4208/958/640/100133941/22806/115352/5074/695/975/10385/23308/51237/2213/596/7048/8440/10451/23240/4067",26,"B.cell"
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","26/431","221/18866",8.14958939147778e-12,2.11563340602763e-09,1.88612953074342e-09,"115650/972/3115/933/3123/3113/3109/4208/958/640/100133941/22806/115352/5074/695/975/10385/23308/51237/2213/596/7048/8440/10451/23240/4067",26,"B.cell"
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","27/431","240/18866",9.24548412019325e-12,2.25011969775203e-09,2.00602675186825e-09,"115650/972/3115/933/3123/3113/3109/4208/958/640/100133941/22806/115352/3087/5074/695/975/10385/23308/51237/2213/596/7048/8440/10451/23240/4067",27,"B.cell"
